Time [s],Channel 0,Channel 1
2.971970250,1,1
2.971970750,0,0
2.971971250,1,0
2.971971750,0,0
2.971972250,1,0
2.971972750,0,1
2.971973250,1,1
2.971973750,0,1
2.971974000,1,1
2.971974500,0,0
2.971975000,1,0
2.971975500,0,0
2.971976000,1,0
2.971976500,0,1
2.971977000,1,1
2.971977500,0,0
2.971978000,1,0
2.971978500,0,1
2.971979000,1,1
2.971979500,0,0
2.971980000,1,0
2.971980500,0,0
2.971981000,1,0
2.971981500,0,1
2.971982000,1,1
2.971982500,0,1
2.971983000,1,1
2.971983500,0,1
2.971984000,1,1
2.971984250,0,0
2.971984750,1,0
2.971985250,0,0
2.971985750,1,0
2.971986250,0,1
2.971986750,1,1
2.971987250,0,0
2.971987750,1,0
2.971988250,0,1
2.971988750,1,1
2.971989250,0,0
2.971989750,1,0
2.971990250,0,1
2.971990750,1,1
2.971991250,0,0
2.971991750,1,0
2.971992250,0,1
2.971992750,1,1
2.971993250,0,1
2.971993750,1,1
2.971994250,0,0
2.971994500,1,0
2.971995000,0,0
2.971995500,1,0
2.971996000,0,0
2.971996500,1,0
2.971997000,0,1
2.971997500,1,1
2.971998000,0,1
2.971998500,1,1
2.971999000,0,0
2.971999500,1,0
2.972000000,0,1
2.972000500,1,1
2.972001000,0,1
2.972001500,1,1
2.972002000,0,0
2.972002500,1,0
2.972003000,0,0
2.972003500,1,0
2.972004000,0,0
2.972004500,1,0
2.972004750,0,0
2.972005000,0,1
2.972005250,1,1
2.972005750,0,0
2.972006000,0,1
2.972006250,1,1
2.972006750,0,0
2.972007250,1,0
2.972007750,0,1
2.972008250,1,1
2.972008750,0,0
2.972009250,1,0
2.972009750,0,1
2.972010250,1,1
2.972010750,0,0
2.972011250,1,0
2.972011750,0,1
2.972012250,1,1
2.972012750,0,0
2.972013250,1,0
2.972013750,0,1
2.972014250,1,1
2.972014750,0,1
2.972015000,1,1
2.972015500,0,0
2.972016000,1,0
2.972016500,0,0
2.972017000,1,0
2.972017500,0,0
2.972018000,1,0
2.972018500,0,1
2.972019000,1,1
2.972019500,0,1
2.972020000,1,1
2.972020500,0,0
2.972021000,1,0
2.972021500,0,0
2.972022000,1,0
2.972022500,0,1
2.972023000,1,1
2.972023500,0,1
2.972024000,1,1
2.972024500,0,1
2.972025000,1,1
2.972025250,0,0
2.972025750,1,0
2.972026250,0,0
2.972026750,1,0
2.972027250,0,0
2.972027750,1,0
2.972028250,0,1
2.972028750,1,1
2.972029250,0,1
2.972029750,1,1
2.972030250,0,1
2.972030750,1,1
2.972031250,0,0
2.972031750,1,0
2.972032250,0,0
2.972032750,1,0
2.972033250,0,0
2.972033750,1,0
2.972034250,0,1
2.972034750,1,1
2.972035250,0,1
2.972035500,1,1
2.972036000,0,0
2.972036500,1,0
2.972037000,0,1
2.972037500,1,1
2.972038000,0,0
2.972038500,1,0
2.972039000,0,1
2.972039500,1,1
2.972040000,0,0
2.972040500,1,0
2.972041000,0,1
2.972041500,1,1
2.972042000,0,0
2.972042500,1,0
2.972043000,0,0
2.972043500,1,0
2.972044000,0,1
2.972044500,1,1
2.972045000,0,1
2.972045500,1,1
2.972045750,0,0
2.972046250,1,0
2.972046750,0,0
2.972047000,0,1
2.972047250,1,1
2.972047750,0,0
2.972048250,1,0
2.972048750,0,0
2.972049250,1,0
2.972049750,0,1
2.972050250,1,1
2.972050750,0,1
2.972051250,1,1
2.972051750,0,1
2.972052250,1,1
2.972052750,0,0
2.972053250,1,0
2.972053750,0,0
2.972054250,1,0
2.972054750,0,0
2.972055250,1,0
2.972055750,0,1
